customer_id,customer_name,segment,city,loyalty_level
1,Customer_1,SMB,Bogotá,Gold
2,Customer_2,SMB,Cali,Gold
3,Customer_3,Retail,Medellín,Bronze
4,Customer_4,Retail,Cartagena,Gold
5,Customer_5,SMB,Barranquilla,Gold
6,Customer_6,Retail,Bogotá,Gold
7,Customer_7,Retail,Cartagena,Bronze
8,Customer_8,Retail,Cartagena,Gold
9,Customer_9,SMB,Cartagena,Silver
10,Customer_10,Retail,Barranquilla,Bronze
11,Customer_11,Corporate,Bogotá,Gold
12,Customer_12,SMB,Barranquilla,Silver
13,Customer_13,Corporate,Medellín,Gold
14,Customer_14,Corporate,Bogotá,Gold
15, customer_15 ,Corporate,Bogotá,Silver
16,Customer_16,Corporate,Cartagena,Silver
17,Customer_17,Retail,Barranquilla,Bronze
18,Customer_18,Retail,Barranquilla,Gold
19,Customer_19,SMB,Cali,Bronze
20,Customer_20,SMB,Cali,Bronze
21,Customer_21,Retail,Bogotá,Gold
22,Customer_22,SMB,Medellín,Silver
23,Customer_23,Retail,Medellín,Gold
24,Customer_24,Corporate,Cali,Silver
25,Customer_25,SMB,Cali,Gold
26,Customer_26,Corporate,Cali,Gold
27,Customer_27,SMB,Cali,Bronze
28,Customer_28,SMB,Bogotá,Bronze
29,Customer_29,SMB,Medellín,Bronze
30, customer_30 ,SMB,Medellín,Gold
31,Customer_31,Corporate,Barranquilla,Silver
32,Customer_32,SMB,Cartagena,Gold
33,Customer_33,SMB,Cali,Gold
34,Customer_34,Retail,Bogotá,Silver
35,Customer_35,Corporate,Cali,Gold
36,Customer_36,Retail,Cartagena,Bronze
37,Customer_37,Corporate,Medellín,Bronze
38,Customer_38,Corporate,Barranquilla,Bronze
39,Customer_39,Corporate,Medellín,Silver
40,Customer_40,Retail,Medellín,Bronze
41,Customer_41,SMB,Cartagena,Silver
42,Customer_42,SMB,Cartagena,Silver
43,Customer_43,SMB,Barranquilla,Silver
44,Customer_44,Retail,Medellín,Bronze
45, customer_45 ,Corporate,Bogotá,Gold
46,Customer_46,Retail,Medellín,Bronze
47,Customer_47,Retail,Barranquilla,Bronze
48,Customer_48,Retail,Barranquilla,Silver
49,Customer_49,SMB,Barranquilla,Bronze
50,Customer_50,Corporate,Cartagena,Gold
51,Customer_51,SMB,Bogotá,Bronze
52,Customer_52,SMB,Cali,Bronze
53,Customer_53,Corporate,Bogotá,Silver
54,Customer_54,Corporate,Medellín,Silver
55,Customer_55,Retail,Cali,Bronze
56,Customer_56,Retail,Cartagena,Gold
57,Customer_57,SMB,Cali,Bronze
58,Customer_58,SMB,Cartagena,Gold
59,Customer_59,Retail,Cali,Gold
60, customer_60 ,SMB,Cartagena,Gold
61,Customer_61,SMB,Cali,Silver
62,Customer_62,Retail,Bogotá,Silver
63,Customer_63,Corporate,Medellín,Gold
64,Customer_64,Retail,Cartagena,Gold
65,Customer_65,Retail,Barranquilla,Gold
66,Customer_66,SMB,Medellín,Gold
67,Customer_67,SMB,Barranquilla,Bronze
68,Customer_68,Retail,Cali,Bronze
69,Customer_69,SMB,Barranquilla,Gold
70,Customer_70,SMB,Medellín,Bronze
71,Customer_71,Corporate,Barranquilla,Bronze
72,Customer_72,SMB,Cali,Silver
73,Customer_73,SMB,Barranquilla,Gold
74,Customer_74,Retail,Medellín,Gold
75, customer_75 ,Corporate,Bogotá,Bronze
76,Customer_76,SMB,Medellín,Bronze
77,Customer_77,Retail,Bogotá,Gold
78,Customer_78,SMB,Bogotá,Gold
79,Customer_79,Retail,Bogotá,Silver
80,Customer_80,Retail,Cartagena,Gold
81,Customer_81,Corporate,Barranquilla,Gold
82,Customer_82,SMB,Medellín,Bronze
83,Customer_83,SMB,Cartagena,Silver
84,Customer_84,Retail,Barranquilla,Silver
85,Customer_85,Retail,Bogotá,Gold
86,Customer_86,SMB,Barranquilla,Silver
87,Customer_87,Corporate,Barranquilla,Silver
88,Customer_88,SMB,Bogotá,Bronze
89,Customer_89,SMB,Bogotá,Gold
90, customer_90 ,Corporate,Cali,Gold
91,Customer_91,Retail,Medellín,Gold
92,Customer_92,SMB,Barranquilla,Gold
93,Customer_93,Corporate,Medellín,Silver
94,Customer_94,Corporate,Medellín,Gold
95,Customer_95,Corporate,Cartagena,Gold
96,Customer_96,Retail,Cartagena,Gold
97,Customer_97,Retail,Medellín,Gold
98,Customer_98,Corporate,Barranquilla,Silver
99,Customer_99,Retail,Barranquilla,Gold
100,Customer_100,Retail,Barranquilla,Gold
