product_id,product_name,category,cost
1,Product_1,Accessories,145
2,Product_2,Accessories,156
3,Product_3,Accessories,294
4,Product_4,Furniture,259
5,Product_5,Electronics,107
6,Product_6,Accessories,121
7,PRODUCT_7,Electronics,287
8,Product_8,Electronics,170
9,Product_9,Electronics,35
10,Product_10,Furniture,254
11,Product_11,Furniture,281
12,Product_12,Electronics,39
13,Product_13,Furniture,51
14,PRODUCT_14,Electronics,45
15,Product_15,Furniture,44
16,Product_16,Furniture,130
17,Product_17,Accessories,71
18,Product_18,Furniture,136
19,Product_19,Furniture,30
20,Product_20,Furniture,51
