order_id,customer_id,product_id,date,quantity,unit_price,discount,channel,region
1,27,11,3/3/2025,7,155,0.15,Store,East
2,41,3,1/3/2025,3,254,,Store,West
3,69,7,5/10/2025,10,155,0.05,Online,North
4,48,10,2/10/2025,6,244,,Online,South
5,85,4,2/4/2025,5,155,0,Online,East
6,37,20,2/23/2025,2,387,0.1,Online,East
7,33,2,1/24/2025,4,344,0.15,Store,West
8,43,5,6/13/2025,5,154,0.05,Online,North
9,15,3,6/26/2025,8,482,0.05,Store,North
10,75,18,2/7/2025,9,240,0.05,Online,East
11,6,12,2/23/2025,1,369,0.05,Store,East
12,80,5,3/2/2025,2,462,0.05,Store,West
13,23,11,4/16/2025,3,430,0.05,Store,North
14,49,2,5/1/2025,5,133,0.05,Online,North
15,30,8,1/7/2025,8,357,0.05,Store,East
16,9,9,3/31/2025,7,348,,Store,East
17,15,9,2/15/2025,7,317,0.1,Store,North
18,45,11,4/22/2025,1,330,,Online,West
19,33,2,4/22/2025,2,20,,Store,South
20,56,3,6/20/2025,9,491,0.1,Online,East
21,93,10,5/10/2025,10,178,0.15,Store,North
22,71,5,2/19/2025,6,235,0.15,Store,East
23,71,1,3/19/2025,3,166,0.05,Store,West
24,57,15,6/22/2025,7,129,,Store,West
25,37,17,6/19/2025,8,344,,Online,North
26,87,10,2/27/2025,6,432,0.05,Online,South
27,32,16,6/6/2025,3,455,0,Online,North
28,92,13,5/7/2025,8,224,0.05,Store,South
29,100,14,2/26/2025,3,110,,Online,North
30,16,15,2/4/2025,8,430,0.15,Online,South
31,79,17,4/20/2025,9,445,,Store,West
32,58,9,3/5/2025,8,450,0.1,Online,West
33,36,15,1/20/2025,9,385,0.1,Store,South
34,41,18,1/21/2025,4,90,0.05,Store,East
35,91,7,1/17/2025,4,232,0.15,Store,South
36,8,7,4/18/2025,6,219,,Store,West
37,1,12,3/18/2025,1,405,0.15,Store,West
38,29,9,4/22/2025,7,268,0,Online,West
39,93,6,4/30/2025,7,490,0.05,Store,West
40,51,19,5/25/2025,10,359,0,Online,north 
41,60,6,1/13/2025,2,153,0.15,Store,South
42,42,11,4/8/2025,6,162,0.15,Online,West
43,3,18,1/14/2025,5,199,0.05,Online,West
44,32,7,1/6/2025,2,338,0.05,Online,North
45,86,4,5/25/2025,4,131,0.15,Online,West
46,78,20,1/30/2025,5,418,0.05,Store,South
47,40,19,6/23/2025,5,484,0.15,Online,North
48,76,8,1/27/2025,7,376,0.1,Online,North
49,45,18,4/20/2025,10,358,0.1,Online,North
50,54,16,1/28/2025,2,241,0.1,Store,North
51,23,17,6/16/2025,8,158,,Online,West
52,56,19,3/10/2025,9,185,0.05,Store,West
53,32,15,5/26/2025,2,332,0.15,Store,West
54,42,6,5/5/2025,6,128,0.1,Online,West
55,36,20,6/29/2025,5,470,0.1,online,East
56,11,8,4/15/2025,9,270,,Online,South
57,58,1,1/24/2025,4,170,0.05,Store,West
58,85,19,4/5/2025,7,262,,Online,East
59,96,18,3/26/2025,9,200,0.15,Store,West
60,30,4,2/19/2025,5,181,0,Store,East
61,28,16,3/12/2025,9,390,,Online,South
62,25,10,2/28/2025,9,204,0.05,Store,North
63,36,2,1/14/2025,5,303,0.1,Online,South
64,2,19,3/14/2025,3,260,0.15,Store,North
65,7,9,5/3/2025,8,78,0,Store,South
66,74,2,2/8/2025,7,96,,Store,North
67,16,18,4/17/2025,5,330,,Online,South
68,58,15,3/18/2025,10,460,,Online,West
69,79,4,2/23/2025,7,340,0.05,Store,North
70,21,8,2/14/2025,,302,0,Store,North
71,58,20,5/1/2025,3,169,0,Online,West
72,90,15,1/19/2025,4,371,0.05,Store,East
73,15,18,2/27/2025,5,351,0.05,Online,West
74,8,6,3/20/2025,5,324,,Online,North
75,60,10,6/29/2025,5,226,0.1,Store,North
76,11,20,1/11/2025,9,475,0.15,Store,West
77,12,8,6/22/2025,6,448,,Store,North
78,74,2,2/14/2025,10,260,,Online,East
79,75,14,6/12/2025,8,436,0.15,Store,South
80,45,14,3/27/2025,2,184,0,Store,north 
81,89,16,3/15/2025,3,359,0.15,Store,West
82,12,11,3/6/2025,9,185,0,Online,West
83,53,2,2/18/2025,7,285,0.1,Online,West
84,98,2,2/22/2025,10,156,,Store,West
85,90,16,2/1/2025,3,34,,Store,West
86,71,1,5/22/2025,4,228,0,Online,East
87,16,5,5/8/2025,4,497,0.1,Online,West
88,62,16,3/4/2025,9,253,,Store,West
89,77,17,2/4/2025,3,462,0,Store,South
90,65,9,1/1/2025,5,164,0.1,Store,East
91,58,18,5/4/2025,10,196,0.1,Store,South
92,42,7,6/28/2025,9,142,,Store,West
93,6,11,5/2/2025,7,381,0.15,Online,West
